student_id,student_type,lms_logins_per_week,avg_assignment_delay_days,attendance_percentage,feedback_sentiment_score,activity_irregularity_score,risk_score,burnout_label,dropout_probability,dropout_label,engagement_score,delay_ratio,negative_sentiment_flag,irregular_behavior_flag,risk_category
1,normal,16,3,79.49740796837096,0.9144446820562084,0.3004588975805764,18.632531471615906,0,0.0416166768859025,0,0.7974870398418549,0.2,0,0,Low
2,high_risk,2,15,63.48337539357468,-0.6314823421616191,0.6215879045709567,70.42520985259496,1,0.8851897217540626,1,0.3674168769678734,1.0,1,0,High
3,medium_risk,5,5,74.07016288176682,-0.021671206189334,0.4959574977536696,39.66355650537001,0,0.2623781812863971,0,0.4953508144088341,0.3333333333333333,0,0,Low
4,normal,11,2,90.61493128800386,0.4168346152227936,0.224083761096378,19.62419026111137,0,0.0457566767452746,0,0.7280746564400193,0.13333333333333333,0,0,Low
5,normal,14,4,99.15140331912995,0.6041089011508471,0.2996945322409869,17.540900487165644,0,0.0374741359225632,0,0.8457570165956497,0.26666666666666666,0,0,Low
6,normal,16,3,75.20557828472229,0.7360821443370854,0.0608591547678066,16.111492750336527,0,0.0326457299087439,0,0.7760278914236115,0.2,0,0,Low
7,normal,18,4,97.31989848974716,0.6539011463692573,0.268893659920242,12.536763609700175,0,0.0230600469443599,0,0.9365994924487357,0.26666666666666666,0,0,Low
8,high_risk,0,7,64.38923658390205,-0.3837295107908084,0.9744592418052092,63.60885547629809,0,0.7959035847134233,1,0.3219461829195102,0.4666666666666667,1,1,Medium
9,medium_risk,6,6,64.16219992841015,-0.2510451180248444,0.6079969124874816,47.34508047558235,0,0.4340141470997478,0,0.47081099964205075,0.4,0,0,Medium
10,medium_risk,9,8,78.439112602655,-0.3873836337830293,0.3899587222921629,41.467023857130805,0,0.2987415655154923,0,0.617195563013275,0.5333333333333333,1,0,Medium
11,normal,19,2,90.48378264840748,0.2321339128001561,0.0003772170109961,6.3013792597297416,0,0.0124948879849763,0,0.9274189132420374,0.13333333333333333,0,0,Low
12,high_risk,3,9,64.63018314777734,-0.1900868796939095,0.7840826472626461,56.704997117404,0,0.6616150439895966,1,0.3981509157388867,0.6,0,1,Medium
13,medium_risk,9,9,68.196953462367,-0.0800527326052259,0.4908519069582733,42.26433122786074,0,0.315708024658675,0,0.565984767311835,0.6,0,0,Medium
14,normal,15,1,97.868847533449,0.536923261420117,0.2911056162051776,12.482705693048752,0,0.022938577223389,0,0.864344237667245,0.06666666666666667,0,0,Low
15,normal,16,4,90.21336608193096,0.702791021377846,0.1811072518045603,15.496600589919,0,0.0307587232068752,0,0.8510668304096548,0.26666666666666666,0,0,Low
16,normal,15,3,93.80387230644163,0.5035768963385915,0.3576218420815547,17.16335955461291,0,0.0361358802863497,0,0.8440193615322082,0.2,0,0,Low
17,normal,12,4,95.18427349481225,0.6355934820081872,0.1214883814364754,18.35959068117741,0,0.0405415774109042,0,0.7759213674740613,0.26666666666666666,0,0,Low
18,normal,15,2,81.85340417979846,0.202656921990431,0.1768616455146331,16.106240304436547,0,0.0326291467629597,0,0.7842670208989924,0.13333333333333333,0,0,Low
19,normal,12,0,97.72060077421992,0.0211723637353784,0.1392053415053971,12.65792992902598,0,0.0233345970759012,0,0.7886030038710996,0.0,0,0,Low
20,normal,17,0,85.41872651560132,0.7572955720711929,0.0908005197353682,8.757326167130195,0,0.0159178637065443,0,0.8520936325780066,0.0,0,0,Low
21,medium_risk,11,6,66.96060305416506,-0.1105543384134052,0.6914313579437495,39.53963468181606,0,0.2599869215086628,0,0.6098030152708254,0.4,0,0,Low
22,normal,13,0,85.40652498400188,0.2654992172182822,0.1210368610656463,14.213921669984224,0,0.0271564726586028,0,0.7520326249200093,0.0,0,0,Low
23,normal,13,0,88.30614517854451,0.6068598078009285,0.1955117552918664,14.606140034741866,0,0.028212116732543,0,0.7665307258927225,0.0,0,0,Low
24,normal,16,0,80.28212593924844,0.4825055913821133,0.1364410855209832,11.976084798002637,0,0.0218301449540693,0,0.8014106296962422,0.0,0,0,Low
25,normal,16,0,91.8797353877906,0.6333121744366106,0.1849960841622373,9.805007415485909,0,0.0176450179329943,0,0.859398676938953,0.0,0,0,Low
26,medium_risk,9,5,65.6971226192152,-0.4806077927820882,0.5500077816672416,44.45161962860282,0,0.3647426775335359,0,0.553485613096076,0.3333333333333333,1,0,Medium
